Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
I. Ella,15,17,1,3
II. The Gods Come Together,18,19,4,5
III. Lord and Lady of Sustenance,20,33,6,19
IV. Mamá Grande,34,44,20,30
V. Cipactli: Woman as Monster,45,46,31,32
VI. Left-handed Brother,47,51,33,37
VII. La Tia Renata,52,54,38,40
VIII. Dog Days of Summer '75,55,68,41,54
"IX. Renacimiento (or,68,69, Death to All Dwarf Roosters Who Think They Can Fly)",55
X. The Sire,83,89,69,75
"XI. La Amazona (or,85,90, The Eighties in San Francisco)",76
XII. Governess of the Subconscious,100,115,86,101
XIII. El Hijo,116,131,102,117
XIV. Suicide,132,134,118,120
XV. Mictlan,135,143,121,129
XVI. Tonalli,144,158,130,144
XVII. In the Jaws of Xolotl,159,166,145,152
XVIII. Righteous White Boyz,167,172,153,158
XIX. The Archivist,173,179,159,165
XX. The Seminarian,180,191,166,177
XXI. Baggage,192,200,178,186
XXII. Dangerously Happy,201,214,187,200
XXIII. Lunar Twin,215,228,201,214
XXIV. La Otra,229,230,215,216
XXV. A Night Without Stars on the Isthmus,231,246,217,232
XXVI. Are Hunters Born or Made?,247,261,233,247
XXVII. Mistress of Death,262,268,248,254
XXVIII. Between the Aztecs' Pyramids and the Ancient Egyptians',269,270,255,256
XXIX. The Fields,271,274,257,260
XXX. Splendor and Obsession,275,283,261,269
