Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
"Affirmations #1,,15, Life Shoppin' In Ma Becksy's Deli",
Autobiography Of A Nuyorican,17,18,,
Springfield,19,20,,
Father's Day On Longwood Avenue,21,22,,
Sistas,23,23,,
I Want To Paint,24,25,,
Religious Instructions For Young Casualties,26,27,,
Mambo Love Poem,28,29,,
Mother's Day At Doña Rodríguez,30,31,,
Invisible Inscriptions,32,33,,
"Rites of Passage #1,,34, María Poeta Bled Daily",
So Your Name Isn't María Cristina,36,37,,
Native America,38,39,,
Afterbirths,40,40,,
"Affirmations #2,,41, There Is A Poet Inside You",
This Is A Hill That Climbs,42,42,,
Love Affair With A Welfare Hotel,45,46,,
"Puerto Rican Discovery #5,,47, Here Like There",
Alternative Points Of View,48,49,,
Unprescribed Symptoms Of A Life Withdrawal,50,50,,
3:00 A.M. Eulogy For A Small Time Poet,51,51,,
Original Jones Poem In Bb,52,52,,
"South Bronx Testimonial #3,,53, We Are All Insane",
Death Watch,54,55,,
Because Life Is A Bitch,56,57,,
Poema Para La Muerte,58,60,,
Who Is Going To Tell Me,61,63,,
"Puerto Rican Discovery #6,,64, Lodestar",
Open Memo,65,65,,
Point Of Information,66,66,,
Anonymous Apartheid,67,68,,
Fighting Demons,69,70,,
"Puerto Rican Discovery #7,,71, In The Eye Of The Storm",
Braintwister,72,72,,
"Rumba Amiga,,75, Amiga",
Gringolandia,76,76,,
"Affirmations #3,,77, Take Off Your Mask",
In The Ring,78,78,,
"Black Notes And ""You Do Something To Me""",79,80,,
From The Ferrybank,81,82,,
Resurrections,83,83,,
Oshun's Love Poem,84,85,,
"Affirmations #4,,86, I Seek",
Padrino,87,87,,
Bautizo,88,88,,
Life Is A Journey,89,89,,
Ocha,90,90,,
101st Poem For My Husband,91,91,,
