Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
The Blackened Alphabet,22,22,,
Irons At Her Feet,23,24,,
Yellow Jaundice,25,28,,
The Goodfellows Club,31,38,,
Cotton Tea,39,40,,
Harry and Jainey,41,43,,
Understudies,45,51,,
My Centipeding Self,52,53,,
Making Foots,54,56,,
Lightkeeper,57,57,,
In South Carolina: Where Black School Marms Sleep,58,59,,
Black Orion,61,63,,
"""God Ain't Makin' No More Land""",64,69,,
"The Afterbirth,,72, 1931",
Mary Mary Quite Contrary,79,80,,
The Sound Of Burning Hair,81,83,,
Dinosaur,84,85,,
Pluck,87,93,,
The Devil Is Beating His Wife,94,96,,
Eskimo,97,98,,
Acquanetta of Hollywood,99,104,,
I Have Been Somewhere,105,105,,
The Butt of The Joke,106,110,,
South Africa: When A Woman Is A Rock,111,113,,
The Ostrich,114,114,,
Brown country,115,121,,
He Never Had It Made,123,126,,
The Turtle Ball,130,134,,
Tenderheaded,135,137,,
Living On What,138,139,,
Mae/1,140,143,,
Love Marrow,144,144,,
Mute,145,145,,
Permittable Thunder,146,152,,
The Vertigo,155,160,,
The Mapmaker,161,162,,
"The Savoy,,163, 1926",
Daguerre of Negras,168,170,,
Woman Holdin' Up All 'Deeze Folks,171,173,,
Rule Number One,174,175,,
The End of it,176,176,,
A Woman With Keys,177,178,,
The Rice,179,181,,
