Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Perfect Day,21,21,,
General,22,22,,
Sojourner,23,23,,
Why I Did Not Give My Seat To That White Man in 1932,24,24,,
Horseface,25,25,,
Honky Tonk,26,26,,
American As A Cabin,27,27,,
Christian Hair,28,28,,
Workers of The Soil,29,29,,
Ma,30,30,,
Riot,31,31,,
If The Negro Cannot See Work As Honorable,32,32,,
Pauli Murray,33,33,,
D.W. Griffith Elegy,34,34,,
Elegy,35,37,,
My Darkness Burns the Cross,38,39,,
The Road That Lies Beneath,40,40,,
Eleanor Roosevelt,41,41,,
Literary New England,42,43,,
Not Long For The Day,44,44,,
Coke Bottle Glasses,45,45,,
Negro Enough for Me,46,46,,
Walter White,47,47,,
Have You Heard the Little Presbyterian Children Sing,48,48,,
Southern Sisters,49,49,,
Preacher's Yellow Son,50,50,,
Sunday Morning,51,51,,
Eddie Loves Little Lulu,52,52,,
While Lincoln is Still Thinking,53,53,,
Frederick Douglass,54,54,,
Annals of the Poor,55,55,,
Sweet Tooth,56,56,,
Renters,57,57,,
Folks Like Me,58,58,,
What Can (Blind) Lemon Do?,59,59,,
Elegy,60,60,,
Hard Times,61,61,,
Landlord You're Wearin' the Door Out,62,62,,
Drinking A Hard Work Day,63,63,,
Unemployment Line Blues,64,64,,
Blues Let Me Tell You,65,65,,
Meat,66,66,,
The Lincoln Brigade,67,67,,
Negro Communists,68,68,,
Negro Communists 2,69,69,,
Forever Robeson,70,70,,
Dusk Song for the Brown Bomber,71,71,,
His Fingers Seem To Sing,72,72,,
Tap,73,73,,
"Harlem Is the Place of Joyful Negro Song or,,74, Trying to Understand Gershwin's Good Intentions",
Deep Chocolate,75,75,,
Street Song,76,76,,
Apricot Bright and Tan,77,77,,
Sewer,78,78,,
Strong,79,79,,
Black is a Negro Full of Speeches,80,80,,
Thoughts of a Georgia Boy,81,81,,
Marcus Garvey To be a Negro,82,82,,
Scottsboro Boy,83,83,,
The Talented 90%,84,84,,
Spring 1931,85,85,,
"Negro Hero in Ebony Magazine or,,86, Life Magazine for the Black Bourgeoisie",
Claude McKay,87,87,,
I Married A Communist,88,88,,
Picket Lines and Rubber Hose Wherever I Go,89,89,,
Are You Now or Have You Ever Been,90,90,,
Ebony,91,91,,
Robert W. Lee,92,92,,
Life Has Kicked Me,93,93,,
To Howard Fast,94,95,,
Historical Novelists,96,97,,
Black Bolsheviks I Have Known,98,99,,
I Had Negro Friends...,100,100,,
Homegrown Nigger #1,101,101,,
Home Grown Nigger #2,102,103,,
John's Poem: We Are Brothers & Talk That Way,104,106,,
Long Hair God Almighty Nappy Hair,107,107,,
Almost Gone,108,108,,
From Our Terrible Heart,109,109,,
Blues (A Christian Fundamentalist Speaks),110,110,,
James Baldwin,111,111,,
Emmett Till (August 1955),112,113,,
1953,114,114,,
Sleeping So Long the Bus Boycott,115,115,,
Half A Negro,116,116,,
Larry Neal,117,117,,
Since I Have Seen You,118,119,,
1960,120,120,,
Ohio After The Shooting At Kent State (June 1970),121,121,,
12/1/87,122,122,,
Robert Hayden,123,123,,
