Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
The Birth of Rhythm and Blues,17,21,6.0,
Officially Lent,22,24,9.0,
In My Father's House,25,27,12.0,
Taking the Curve,28,28,13.0,
In Like Paradise/Out Like the Blues,29,31,16.0,
What You Know,32,33,18.0,
Encounter and Farewell,34,35,20.0,
If I Were Rita Hayworth,36,36,21.0,
The Usual Suspect,37,38,23.0,
Remember Iwo Jima,39,40,25.0,
The Blues of This Day,41,42,27.0,
Wheel of Fortune,43,44,29.0,
Joss Sticks,45,46,31.0,
"San Francisco,,47, Spring 1986",34.0
"Christmas,35.0,, Boston, 1989"
Lost Manhattan,51,51,36.0,
Gossip,52,52,37.0,
Baby Hair Shirt,53,55,40.0,
A Question of Weather,56,56,41.0,
Glad All Over,57,59,44.0,
The Perfect Lipstick,60,61,46.0,
Healing Sheath,62,63,48.0,
Sly and the Family Stone Under the Big Tit,64,66,51.0,
5:25 A.M.,67,68,53.0,
Falling Magic,69,70,55.0,
Blumen,71,73,58.0,
Thief's Song,74,74,59.0,
You Just Got the Call,75,76,61.0,
April,77,78,63.0,
Bête Noire,79,80,65.0,
Rhythm and Blues Two,81,81,66.0,
Measure,82,83,68.0,
What the God of Fire Charged Me,84,84,69.0,
New Blues,85,87,72.0,
Halloween Weather (a Suite),88,88,,
First Frost Prayer,89,89,,
Day of the Dead,90,91,,
