Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Good Humor,11,12,9,10
Soul Train,13,14,11,12
Big Shots,15,16,13,14
Junior High Dance,17,18,15,16
Adolescence,19,19,17,17
Facts of Life,20,21,18,19
Home Girl Talks Girlhood,22,23,20,21
To The Lost Daughters of Bronx Science,27,29,25,27
In the Bookstore,30,31,28,29
Home Girl Steps Out,32,33,30,31
Ten Years Later,34,35,32,33
Home Girl Dreams A Dance Partner,36,37,34,35
"""Dance Fever""",41,42,39,40
Young Marrieds,43,44,41,42
Persuasion,45,46,43,44
Exhibitionism,47,48,45,46
Soul Suite,49,51,47,49
Morning Kiss,52,52,50,50
Solace,53,54,51,52
The Inner Life,55,56,53,54
Nightclubbing,57,58,55,56
Wedding Party,59,60,57,58
Slow Jams,63,64,61,62
Used Books,65,66,63,64
"The Effort of Travel: Bronx,67,67, New York",65
New York Scenes,70,72,68,70
Livelihood,73,74,71,72
Immigrants,75,76,73,74
Transit,77,78,75,76
Anatomy,79,80,77,78
Genealogy,81,85,79,83
