Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
gathering rain,13,14,1,2
imani,15,16,3,4
eva/jaki/ivory/imani/eva,17,17,5,5
visions,18,20,6,8
eva/jaki/ivory/imani/eva,21,22,9,10
i know the grandmother one had hands,23,24,11,12
the lesson,25,26,13,14
eclipses of eva,27,29,15,17
cleansing skies,30,35,18,23
conjure blues,39,40,27,28
prayer for jessie,41,45,29,33
"tribute to the men and women who perished in the Imperial Chicken Plant fire in Hamlet,37,46, North Carolina",34
the coming of changó,50,54,38,42
ode to lies,55,55,43,43
insult,56,57,44,45
things break down,58,59,46,47
the crucian tracks,60,61,48,49
apartheid,65,66,53,54
auction block,67,68,55,56
aura cleansing,69,70,57,58
skin mirror,71,71,59,59
unraveling,72,73,60,61
this eggó is alive,74,75,62,63
praise song,76,76,64,64
imani,77,77,65,65
harvest song,78,79,66,67
the griot's song,83,83,71,71
tidal surge,84,85,72,73
i cry,86,87,74,75
that boy from georgia is coming through here,88,90,76,78
stolen names,91,91,79,79
for jonathan,92,93,80,81
for gordon,94,95,82,83
for segun,96,96,84,84
for donald and segun,97,97,85,85
a declaration of peace/a time of thankful praise,98,101,86,89
...gone fishing,102,103,90,91
song of alice/ossie/nathaniel/ivory,104,105,92,93
