Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
The Traumere I,11,14,7,10
That's So!,15,15,11,11
AT NIAGARA,17,17,13,13
I Stood by the Caves of Memory,18,18,14,14
Miserrordia,19,19,15,15
The Mountain,20,20,16,16
Ditty,21,22,17,18
Pappy,23,24,19,20
Bagatelle,25,25,21,21
The Rubinstein Staccato Etude,26,27,22,23
A Romance Sonata,28,34,24,30
Au Matin,35,35,31,31
Au Soir,36,37,32,33
Yield But Thy Love to Me,38,38,34,34
Ode,39,40,35,36
To the Sea,41,41,37,37
Twilight,42,42,38,38
Berceuse,43,44,39,40
Mistaken,45,45,41,41
After,46,47,42,43
Oh Whisp'ring Tree,48,48,44,44
A Melody that Haunts and Charms,49,49,45,45
Conjured,50,51,46,47
Draw Nigh Unto Me,52,53,48,49
Faithfully Yours,54,55,50,51
Elegy,56,57,52,53
Bishop Isaac Lane,58,58,54,54
Lane College Song,59,60,55,56
Remembrance,61,62,57,58
The Gossip or The Old Maid's Story,63,73,59,69
