Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
A Great Angel,11,11,,
Space Invocation,12,12,,
"Living as a Lesbian Underground,,13, ii",
Morgan Harris,18,19,,
Prose Poems,20,25,,
Saxen and Wilfreda,26,32,,
Greta Garbo,33,33,,
Cucumber,34,35,,
Movement,36,44,,
Summer of 1973,45,45,,
Committed Sex,46,47,,
passing,48,48,,
All Souls' Day,49,49,,
Flowers of Puerto Rico,50,52,,
Conceit,53,53,,
A Child I Saw Myself,54,54,,
Buttons,55,55,,
interlude,56,56,,
Bergamot,57,57,,
An Epitaph,58,58,,
Rondeau,59,59,,
Make-up,60,61,,
Remember the Voyage,62,62,,
Berdache,63,63,,
A Poet's Death,64,66,,
Arroyo,67,67,,
Dear One,68,69,,
Dykes Are Hard,70,70,,
Tortoise and Badger,71,71,,
Living as a Lesbian at Forty-Five,72,73,,
Future Orientation,74,74,,
Najeeb,75,75,,
Choking,76,76,,
Sadness,77,77,,
Prayer,78,78,,
Gabriel,79,79,,
Untitled,80,80,,
On Your Forty-First Birthday,81,81,,
"Veronica Ashley Wood,,82, My Niece",
Hanging Tough in the Persian Gulf,83,83,,
Elegy,84,84,,
Heartache,85,85,,
an old woman muses from her basement,86,87,,
