Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Poem to a Jazz Man,15,15,3,
Liturgy of the Light-Skinned,16,17,4,
Mélange: A Commencement,18,18,6,
Sisters,19,20,7,
Susquehanna: The Projects,21,21,9,
Susan's Hair,22,23,10,
White Boys Who Sing the Blues,24,25,12,
Braiding,26,28,14,
Neighborhood,29,29,17,
Hecate in the City,30,31,18,
Searching for the Zebra Finch,32,33,20,
The Last,34,34,22,
Palace Cleopatra,35,36,23,
Desdemona's Fire,37,38,25,
Yellow Girl,41,43,29,
My Mother as Daedalus,44,45,32,
Flowers for Aurelia,46,47,34,
Asthma,48,49,36,
Water,50,50,38,
The Girl Gymnast,51,52,39,
Message from the Snowbound Girl,53,54,41,
Talking with The Buddha,55,56,43,
The Siren's Sound,57,58,45,
The Watering Stone,59,61,47,
Instruction,62,62,50,
Esu Speaks the Moon,63,63,51,
Odyssea Home,64,65,52,
The Carpenter's Dream,66,67,54,
"At 57,,68, My Father Learns to Grow Things",56
The Migrant,69,73,57,
