Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Poem,46,46,13,13
The Weary Blues,56,57,23,24
Jazzonia,60,60,25,25
Negro Dancers,61,61,26,26
The Cat and the Saxophone,64,64,27,27
Young Singer,65,65,28,28
Cabaret,68,68,29,29
To Midnight Nan at Leroy's,69,69,30,30
"To a Little Lover-Lass,31,72, Dead",31
Harlem Night Club,73,73,32,32
Nude Young Dancer,76,76,33,33
Young Prostitute,77,77,34,34
To a Black Dancer,80,80,35,35
Song for a Banjo Dance,81,81,36,36
Blues Fantasy,84,85,37,38
Lenox Avenue: Midnight,90,90,39,39
Dream Variations,98,98,43,43
Winter Moon,99,99,44,44
Poème d'Automne,100,100,45,45
Fantasy in Purple,101,101,46,46
March Moon,102,102,47,47
Joy,103,103,48,48
The Negro Speaks of Rivers,106,106,50,50
Cross,107,107,52,52
The Jester,108,108,53,53
The South,109,109,54,54
As I Grew Older,110,111,55,56
Aunt Sue's Stories,112,112,57,57
Poem,113,113,58,58
A Black Pierrot,116,116,61,61
Harlem Night Song,117,117,62,62
Songs to the Dark Virgin,118,118,63,63
Ardella,119,119,64,64
Poem-To the Black Beloved,120,120,65,65
When Sue Wears Red,121,121,66,66
Pierrot,122,123,67,68
Water Front Streets,126,126,71,71
A Farewell,127,127,72,72
Long Trip,128,128,73,73
Port Town,129,129,74,74
Sea Calm,130,130,75,75
Caribbean Sunset,131,131,76,76
Young Sailor,132,132,77,77
Seascape,133,133,78,78
Natcha,134,134,79,79
Sea Charm,135,135,80,80
Death of an Old Seaman,136,136,81,81
Beggar Boy,140,140,85,85
Troubled Woman,141,141,86,86
Suicide's Note,142,142,87,87
Sick Room,143,143,88,88
Soledad,144,144,89,89
To the Dark Mercedes,145,145,90,90
Mexican Market Woman,146,146,91,91
After Many Springs,147,147,92,92
Young Bride,148,148,93,93
The Dream Keeper,149,149,94,94
Poem (To F. S.),150,150,95,95
Our Land,154,154,99,99
Lament for Dark Peoples,159,159,100,100
Afraid,160,160,101,101
Poem-For the Portrait of an African Boy,161,161,102,102
Summer Night,162,162,103,103
Disillusion,163,163,104,104
Danse Africaine,164,164,105,105
The White Ones,165,165,106,106
Mother to Son,166,166,107,107
Poem,167,167,108,108
Epilogue,168,168,109,109
