Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Carl Chessman Interviews the P.T.A....,37,39,31,
The Enormous Gas Bill at the Dwarf Factory....,40,46,34,
Alien Winds,47,48,41,
Tidal Friction,49,50,43,
A Terror is More Certain...,51,52,45,
Sheila,53,53,47,
Heather Bell: Chorus,54,54,48,
Walking Hot Seasons,55,55,49,
Results of a Lie Detector Test,56,56,50,
Come,57,57,51,
Saraswati,58,58,52,
Unhistorical Events,59,59,53,
Cocoa Morning,60,60,54,
Picasso's Balcony,61,61,55,
"""Michaelangelo"" The Elder",62,62,56,
Blue Slanted into Blueness,63,63,57,
Early Loves,64,64,58,
Round about Midnight,65,65,59,
Jass Chick,66,66,60,
Tequila Jazz,67,67,61,
Harwood Alley Song (San Francisco),68,68,62,
His Horn,69,69,63,
The Biggest Fisherman,70,70,64,
Inside Connie,71,71,65,
Lost Window,72,72,66,
Cross Winds (Song for Paul Swanson),73,73,67,
"Believe,,74, Believe",68
Blue O'Clock,75,75,69,
But As Love,76,76,70,
The Cat Is Sleeping on a Poem,77,77,71,
Sun,78,78,72,
The Mind for All Its Reasoning,79,79,73,
Crootey Songo,80,80,74,
Slight Alterations,81,81,75,
"I Sigh a Marbled Sigh Ah,,82, at Last",76
Why Write ABOUT,83,83,77,
Waiting,84,85,78,
Heavy Water Blues,86,87,80,
When We Hear the Eye Open...,88,88,82,
Falling,89,89,83,
I Wish...,90,90,84,
Suicide,91,91,85,
"The Late Lamented Wind,,92, Burned in Indignation",86
Night Sung Sailor's Prayer,93,93,87,
The Under Weight Champion,94,94,88,
Plea,95,95,89,
Drunk Time,96,96,90,
Geneology,97,97,91,
On,98,98,92,
O-Jazz-O,99,99,93,
"O-Jazz-O War Memoir: Jazz,,100, Don't Listen to It at Your Own Risk",94
African Dream,107,107,101,
Walking Parker Home,108,108,102,
"Afterwards,,109, They Shall Dance",103
Benediction,111,111,105,
"Grandfather Was Queer,,112, Too",106
Bagel Shop Jazz,113,114,107,
Reflections on a Small Parade,115,115,109,
Bird with Painted Wings,116,116,110,
Would You Wear My Eyes?,117,117,111,
"To My Son Parker,,118, Asleep in the Next Room",112
Cincophrenicpoet,120,120,114,
Response (for Eileen),121,121,115,
Who Has Seen the Wind?,122,122,116,
Abomunist Manifesto,123,124,117,
Countess Erica Blaise: Chorus,127,128,121,
"Telegram to Alex/Bagel Shop,,129, North Beach SF",123
Morning Joy,130,130,124,
[All Those Ships That Never Sailed],131,132,125,
[My Mysteries Created for Me],133,133,127,
[The Night that Lorca Comes],134,134,128,
The Poet,135,138,129,
The Ancient Rain,139,145,133,
Hawk Lawler: Chorus,149,151,143,
Does the Secret Mind Whisper?,152,161,146,
J'Accuse,162,162,156,
No More Jazz at Alcatraz,163,163,157,
Mongolian Sunset in Gobi Desert,164,164,158,
Peace Be with You,165,166,159,
A Buddhist Experience,167,168,161,
"The Trip,163,, Dharma Trip, Sangha Trip"
