Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Poem for Nana,31,35,1,5
Poem for the Poet Alexis DeVeaux,36,36,6,6
Current Events,37,38,7,8
Poem about The Head of a Negro,39,39,9,9
The Morning on the Mountains,40,40,10,10
"""The Rationale"" or ""She Drove Me Crazy""",41,42,11,12
Case in Point,43,43,13,13
Poem of Personal Greeting for Fidel,44,46,14,16
Newport Jazz Festival,47,48,17,18
Patricia's Poem,49,49,19,19
"""hey,21,50, Baby: You married?""",20
TV Is Easy Next to Life,52,53,22,23
1978,54,55,24,25
An Explanation Always Follows,56,57,26,27
Letter to the Local Police,58,59,28,29
Found Poem,60,60,30,30
Poem about a Night Out: Michael: Goodbye for a While,61,63,31,33
Poem about Police Violence,64,65,34,35
Sketching in the Transcendental,66,66,36,36
A Poem about Intelligence for My Brothers and Sisters,67,68,37,38
verse from a fragmentary marriage,69,69,39,39
1977: Poem for Mrs. Fannie Lou Hamer,70,71,40,41
Poem for South African Women,72,73,42,43
Notes on the Peanut,74,75,44,45
Unemployment Monologue,76,77,46,47
Toward a City that Sings,78,78,48,48
A Song of Sojourner Truth,79,81,49,51
"Alla Tha's All Right,52,82, but",52
Nightletters,83,83,53,53
Evidently Looking at the Moon Requires a Clean Place to Stand,84,84,54,54
Free Flight,85,89,55,59
Letter to My Friend the Poet Ntozake Shange,90,90,60,60
Legend of the Holy Night When the Police Finally Held Fire,91,92,61,62
"A Poem About Vieques,67,93, Puerto Rico",63
Inaugural Rose,98,99,68,69
En Passant,100,100,70,70
For Li'l Bit,101,102,71,72
Niagara Falls,103,103,73,73
calling it quits,104,104,74,74
Poem toward the Bottom Line,105,105,75,75
Memoranda toward the Spring of Seventy-Nine,106,107,76,77
A Short Note to My Very Critical and Well-Beloved Friends and Comrades,108,108,78,78
Rape Is Not a Poem,109,111,79,81
Memo:,112,112,82,82
What Is This in Reference To? or We Must Get Together Sometime Soon!,113,114,83,84
Poem #2 for Inaugural Rose,115,115,85,85
Poem about My Rights,116,119,86,89
Grand Army Plaza,120,121,90,91
Taking Care,122,124,92,94
"A Right-to-Lifer in Grand Forks,95,125, North Dakota",95
From America: A Poem in Process,126,130,96,100
