Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Detroit Read,20.0,21.0,,
The first poem In the book,22.0,23.0,,
I bet you want me to write fiction,24.0,26.0,,
Black coals with diamond heart,27.0,29.0,,
Inappropriate reading material,30.0,31.0,,
Rising of the Sun,32.0,33.0,,
For Winona Laduke,34.0,34.0,,
Watch the water,35.0,36.0,,
Rainbows baby rainbows,37.0,39.0,,
I am fame missed,40.0,40.0,,
Less-Home,41.0,41.0,,
There are no asylums for the real crazy women,42.0,43.0,,
Afro dances by candlelight,44.0,45.0,,
Don't you hate when people ask stupid questions,46.0,47.0,,
This is not an instrumental,48.0,49.0,,
I'm done dating D.J.'s,50.0,51.0,,
One afro's blues,52.0,55.0,,
Half-white revolutionary rain dance,56.0,58.0,,
My daddy's soul music,59.0,59.0,,
Breeze,60.0,60.0,,
Black bums from the bible,61.0,62.0,,
Tribal Scars,63.0,65.0,,
Excuse me,66.0,66.0,,
X-Chromosome,67.0,68.0,,
This is not a poem about revolution,69.0,70.0,,
How can you fuck without kissing?,71.0,73.0,,
Womanhood Untapped,74.0,74.0,,
Blackgirl Justice,75.0,76.0,,
Blacker the Berry,77.0,78.0,,
"Southern Comfort,,79.0, but",
Clark & Indigo,82.0,85.0,,
Black Statue of Liberty.....,86.0,87.0,,
What really happens,88.0,90.0,,
Mirrors,91.0,91.0,,
Beautiful,92.0,94.0,,
Genocide,95.0,95.0,,
The Words Don't Fit In My Mouth,96.0,99.0,,
My caged bird don't sing and every black bird ain't a piece of fried chicken,100.0,102.0,,
Color Struck!,103.0,104.0,,
Box This,105.0,108.0,,
Sesame Street,109.0,111.0,,
Anticipation,112.0,112.0,,
I'm in love with potential,113.0,114.0,,
Yellow people are brown on the tips,115.0,117.0,,
Poetry is my man,118.0,119.0,,
High Coup,120.0,120.0,,
Love poem,121.0,122.0,,
Apple Seed,123.0,123.0,,
Where's my engagement ring?,124.0,125.0,,
"Five-percent of Maine,,, or, Don't mess with motha nature"
Mo'Dusa.....,129.0,131.0,,
Keisha & other girls who dream with their eyes open,132.0,133.0,,
One Bad Brotha',134.0,137.0,,
For Donald Goines to the third power,138.0,140.0,,
Who will be the last poet?,141.0,145.0,,
Read this if it applies to you,146.0,148.0,,
Is it revolutionary for a woman to cook her man dinner?,149.0,155.0,,
Sweetest Revolutionary,,,,
